BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Comment,Keywords,File,Key
Article,"","14","Wo{\'{z}}niak, Micha{\l} and Gra{\~{n}}a, Manuel and Corchado, Emilio","A survey of multiple classifier systems as hybrid systems","Information Fusion",16,1,"","3--17",2014,"","","https://www.ipvs.uni-stuttgart.de/abteilungen/de/","","","","","","","","","","","","","A current focus of intense research in pattern classification is the combination of several classifier systems, which can be built following either the same or different models and/or datasets building approaches. These systems perform information fusion of classification decisions at different levels overcoming limitations of traditional approaches based on single classifiers. This paper presents an up-to-date survey on multiple classifier system (MCS) from the point of view of Hybrid Intelligent Systems. The article discusses major issues, such as diversity and decision fusion methods, providing a vision of the spectrum of applications that are currently being developed. {\textcopyright} 2013 Elsevier B.V. All rights reserved.","","Classifier ensemble,Classifier fusion,Combined classifier,Hybrid classifier,Multiple classifier system","Users/sarah/Documents/Paper/A survey of multiple classifier systems as hybrid systems.pdf",""
Article,"","15","Albert H.R. Ko and Robert Sabourin and Alceu Souza Britto, Jr.","From dynamic classifier selection to dynamic ensemble selection","Pattern Recognition",41,5,"may","1718--1731",2008,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
Article,"","16","Kwak, Nojun","Feature extraction for classification problems and its application to face recognition","Pattern Recognition",41,5,"","1701--1717",2008,"","","","","","","","","","","","","","","","This study investigates a new method of feature extraction for classification problems. The method is based on the independent component analysis (ICA). However, unlike the original ICA, one of the unsupervised learning methods, it is developed for classification problems by utilizing class information. The proposed method is an extension of our previous work on binary-class problems to multi-class problems. It treats the class labels as input features in order to produce two sets of new features: one that carries much information on the class labels and the other that is irrelevant to the class. The learning rule for this method is obtained using the stochastic gradient method to maximize the likelihood of the observed data. Among the new features, using only class-relevant ones, the dimension of the feature space can be greatly reduced in line with the principle of parsimony, resulting better generalization. This method was applied to recognize face identities and facial expressions using various databases such as the Yale, AT{\&}T (former ORL), Color FERET face databases and so on. The performance of the proposed method was compared with those of conventional methods such as the principal component analysis (PCA), Fisher's linear discriminant (FLD), etc. The experimental results show that the proposed method performs well for face recognition problems. {\textcopyright} 2007 Elsevier Ltd. All rights reserved.","","Classification,Face recognition,Facial expression,Feature extraction,ICA","Users/sarah/Documents/Paper/From dynamic classifier selection to dynamic ensemble selection.pdf",""
Article,"","17","{Dos Santos}, Eulanda M. and Sabourin, Robert and Maupin, Patrick","A dynamic overproduce-and-choose strategy for the selection of classifier ensembles","Pattern Recognition",41,10,"","2993--3009",2008,"","","","","","","","","","","","","","","","The overproduce-and-choose strategy, which is divided into the overproduction and selection phases, has traditionally focused on finding the most accurate subset of classifiers at the selection phase, and using it to predict the class of all the samples in the test data set. It is therefore, a static classifier ensemble selection strategy. In this paper, we propose a dynamic overproduce-and-choose strategy which combines optimization and dynamic selection in a two-level selection phase to allow the selection of the most confident subset of classifiers to label each test sample individually. The optimization level is intended to generate a population of highly accurate candidate classifier ensembles, while the dynamic selection level applies measures of confidence to reveal the candidate ensemble with the highest degree of confidence in the current decision. Experimental results conducted to compare the proposed method to a static overproduce-and-choose strategy and a classical dynamic classifier selection approach demonstrate that our method outperforms both these selection-based methods, and is also more efficient in terms of performance than combining the decisions of all classifiers in the initial pool. {\textcopyright} 2008 Elsevier Ltd. All rights reserved.","","Dynamic classifier selection,Measures of confidence,Optimization,Overproduce-and-choose strategy","Users/sarah/Documents/Paper/A dynamic overproduce-and-choose strategy for the selection of classifier ensembles.pdf",""
Article,"","18","Tomasz Woloszynski and Marek Kurzynski","A probabilistic model of classifier competence for dynamic ensemble selection","Pattern Recognition",44,10-11,"oct","2656--2668",2011,"","","","","","","","","Elsevier {BV}","","","","","","","Data Engineering is awesome!!","","","",""
Article,"","19","Britto, Alceu S. and Sabourin, Robert and Oliveira, Luiz E.S.","Dynamic selection of classifiers - A comprehensive review","Pattern Recognition",47,11,"","3665--3680",14,"","","","","","","","","","","","","","","","This work presents a literature review of multiple classifier systems based on the dynamic selection of classifiers. First, it briefly reviews some basic concepts and definitions related to such a classification approach and then it presents the state of the art organized according to a proposed taxonomy. In addition, a two-step analysis is applied to the results of the main methods reported in the literature, considering different classification problems. The first step is based on statistical analyses of the significance of these results. The idea is to figure out the problems for which a significant contribution can be observed in terms of classification performance by using a dynamic selection approach. The second step, based on data complexity measures, is used to investigate whether or not a relation exists between the possible performance contribution and the complexity of the classification problem. From this comprehensive study, we observed that, for some classification problems, the performance contribution of the dynamic selection approach is statistically significant when compared to that of a single-based classifier. In addition, we found evidence of a relation between the observed performance contribution and the complexity of the classification problem. These observations allow us to suggest, from the classification problem complexity, that further work should be done to predict whether or not to use a dynamic selection approach. {\textcopyright} 2014 Elsevier Ltd.","","Data complexity,Dynamic selection of classifiers,Ensemble of classifiers","Users/sarah/Documents/Paper/Dynamic selection of classifiers—A comprehensive review.pdf",""
Article,"","20","Romei, Andrea and Ruggieri, Salvatore","A multidisciplinary survey on discrimination analysis","Knowledge Engineering Review",29,5,"","582--638",2013,"","","","","","","","","","","","","","","","Ontology evolution aims at maintaining an ontology up to date with respect to changes in the domain that it models or novel requirements of information systems that it enables. The recent industrial adoption of Semantic Web techniques, which rely on ontologies, has led to the increased importance of the ontology evolution research. Typical approaches to ontology evolution are designed as multiple-stage processes combining techniques from a variety of fields (e.g., natural language processing and reasoning). However, the few existing surveys on this topic lack an in-depth analysis of the various stages of the ontology evolution process. This survey extends the literature by adopting a process-centric view of ontology evolution. Accordingly, we first provide an overall process model synthesized from an overview of the existing models in the literature. Then we survey the major approaches to each of the steps in this process and conclude on future challenges for techniques aiming to solve that particular stage.","","","Users/sarah/Documents/Paper/A multidisciplinary survey on discrimination analysis.pdf",""
Article,"","21","danah Boyd and Crawford, Kate","Critical Questions for Big Data","Information, Communication {\&} Society",15,5,"","662--679",2012,"","","http://www.tandfonline.com/doi/abs/10.1080/1369118X.2012.678878","","","","","","","","","","","","","Exploiting vast new fl ows of information can radically improve your company's performance. But fi rst you'll have to change your decision-making culture.","","","Users/sarah/Documents/Paper/CRITICAL QUESTIONS FOR BIG DATA.pdf",""
Article,"9781424499069","22","Hajian, Sara and Domingo-Ferrer, Josep and Martinez-Balleste, Antoni","Discrimination prevention in data mining for intrusion and crime detection","IEEE SSCI 2011: Symposium Series on Computational Intelligence - CICS 2011: 2011 IEEE Symposium on Computational Intelligence in Cyber Security",,May,"","47--54",2011,"","","","","","","","","","","","","","","","Automated data collection has fostered the use of data mining for intrusion and crime detection. Indeed, banks, large corporations, insurance companies, casinos, etc. are increasingly mining data about their customers or employees in view of detecting potential intrusion, fraud or even crime. Mining algorithms are trained from datasets which may be biased in what regards gender, race, religion or other attributes. Furthermore, mining is often outsourced or carried out in cooperation by several entities. For those reasons, discrimination concerns arise. Potential intrusion, fraud or crime should be inferred from objective misbehavior, rather than from sensitive attributes like gender, race or religion. This paper discusses how to clean training datasets and outsourced datasets in such a way that legitimate classification rules can still be extracted but discriminating rules based on sensitive attributes cannot.","","","Users/sarah/Documents/Paper/Discrimination Prevention in Data Mining for Intrusion and Crime Detection.pdf",""
Article,"9781509057610","23","Tram{\`{e}}r, Florian and Atlidakis, Vaggelis and Geambasu, Roxana and Hsu, Daniel and Hubaux, Jean Pierre and Humbert, Mathias and Juels, Ari and Lin, Huang","FairTest: Discovering Unwarranted Associations in Data-Driven Applications","Proceedings - Second IEEE European Symposium on Security and Privacy, EuroS and P 2017",,,"","401--416",2017,"","","","","","","","","","","","","","","","In a world where traditional notions of privacy are increasingly challenged by the myriad companies that collect and analyze our data, it is important that decision-making entities are held accountable for unfair treatments arising from irresponsible data usage. Unfortunately, a lack of appropriate methodologies and tools means that even identifying unfair or discriminatory effects can be a challenge in practice. We introduce the unwarranted associations (UA) framework, a principled methodology for the discovery of unfair, discriminatory, or offensive user treatment in data-driven applications. The UA framework unifies and rationalizes a number of prior attempts at formalizing algorithmic fairness. It uniquely combines multiple investigative primitives and fairness metrics with broad applicability, granular exploration of unfair treatment in user subgroups, and incorporation of natural notions of utility that may account for observed disparities. We instantiate the UA framework in FairTest, the first comprehensive tool that helps developers check data-driven applications for unfair user treatment. It enables scalable and statistically rigorous investigation of associations between application outcomes (such as prices or premiums) and sensitive user attributes (such as race or gender). Furthermore, FairTest provides debugging capabilities that let programmers rule out potential confounders for observed unfair effects. We report on use of FairTest to investigate and in some cases address disparate impact, offensive labeling, and uneven rates of algorithmic error in four data-driven applications. As examples, our results reveal subtle biases against older populations in the distribution of error in a predictive health application and offensive racial labeling in an image tagger.","","Algorithmic Fairness,Statistics,Systems","Users/sarah/Documents/Paper/FairTest- Discovering Unwarranted Associations in Data-Driven Applications.pdf",""
Article,"9781424433148","24","Kamiran, Faisal and Calders, Toon","Classifying without discriminating","2009 2nd International Conference on Computer, Control and Communication, IC4 2009",,March 2009,"","",2009,"","","","","","","","","","","","","","","","Classification models usually make predictions on the basis of training data. If the training data is biased towards certain groups or classes of objects, e.g., there is racial discrimination towards black people, the learned model will also show discriminatory behavior towards that particular community. This partial attitude of the learned model may lead to biased outcomes when labeling future unlabeled data objects. Often, however, impartial classification results are desired or even required by law for future data objects in spite of having biased training data. In this paper, we tackle this problem by introducing a new classification scheme for learning unbiased models on biased training data. Our method is based on massaging the dataset by making the least intrusive modifications which lead to an unbiased dataset. On this modified dataset we then learn a non-discriminating classifier. The proposed method has been implemented and experimental results on a credit approval dataset show promising results: in all experiments our method is able to reduce the prejudicial behavior for future classification significantly without loosing too much predictive accuracy.","","","Users/sarah/Documents/Paper/Classifying without Discriminating.pdf",""
