BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Comment,Keywords,File,Key
Article,"","77","Timnit Gebru and Jamie Morgenstern and Briana Vecchione and Jennifer Wortman Vaughan and Hanna Wallach and Hal Daumeé III and Kate Crawford","Datasheets for Datasets","",,,"March","",2018,"","","","","","","","","","","","","","","","Currently there is no standard way to identify how a dataset was created, and what characteristics, motivations, and potential skews it represents. To begin to address this issue, we propose the concept of a datasheet for datasets, a short document to accompany public datasets, commercial APIs, and pretrained models. The goal of this proposal is to enable better communication between dataset creators and users, and help the AI community move toward greater transparency and accountability. By analogy, in computer hardware, it has become industry standard to accompany everything from the simplest components (e.g., resistors), to the most complex microprocessor chips, with datasheets detailing standard operating characteristics, test results, recommended usage, and other information. We outline some of the questions a datasheet for datasets should answer. These questions focus on when, where, and how the training data was gathered, its recommended use cases, and, in the case of human-centric datasets, information regarding the subjects' demographics and consent as applicable. We develop prototypes of datasheets for two well-known datasets: Labeled Faces in The Wild and the Pang \& Lee Polarity Dataset.","","cs.DB, cs.AI, cs.LG","http://arxiv.org/pdf/1803.09010v3",""
Article,"","78","Ramirez, Edith and Brill, Julie and Ohlhausen, Maureen K. and McSweeny, Terrell","Big data: A tool for inclusion or exclusion? Understanding the issues","Federal Trade Commission",,,"","",2016,"","","","","","","","","","","","","","","","","","","",""
Article,"","79","Big Data's Disparate Impact","Barocas, Solon and Selbst, Andrew D","California Law Review",104,,"","671",2016,"","","","","","","","","HeinOnline","","","","","","","","","","",""
Article,"","8","Salvatore Ruggieri and Dino Pedreschi and Franco Turini","Integrating induction and deduction for finding evidence of discrimination","Artificial Intelligence and Law",18,1,"mar","1--43",2010,"","","","","","","","","Springer Nature","","","","","","","","","","",""
Article,"","80","Reuben Binns","Fairness in Machine Learning: Lessons from Political Philosophy","Proceedings of Machine Learning Research 81:149-159, 2018 Conference on Fairness, Accountability, and Transparency",,,"December","",2017,"","","","","","","","","","","","","","","","What does it mean for a machine learning model to be `fair', in terms which can be operationalised? Should fairness consist of ensuring everyone has an equal probability of obtaining some benefit, or should we aim instead to minimise the harms to the least advantaged? Can the relevant ideal be determined by reference to some alternative state of affairs in which a particular social pattern of discrimination does not exist? Various definitions proposed in recent literature make different assumptions about what terms like discrimination and fairness mean and how they can be defined in mathematical terms. Questions of discrimination, egalitarianism and justice are of significant interest to moral and political philosophers, who have expended significant efforts in formalising and defending these central concepts. It is therefore unsurprising that attempts to formalise `fairness' in machine learning contain echoes of these old philosophical debates. This paper draws on existing work in moral and political philosophy in order to elucidate emerging debates about fair machine learning.","","cs.CY","http://arxiv.org/pdf/1712.03586v2",""
Article,"","81","ho Kim, Kwang","Favoritism and reverse discrimination","European Economic Review",51,1,"","101--123",2007,"","","","","","","","","","","","","","","","We analyze the inefficiency that may arise in the form of reverse discrimination in the presence of favoritism or nepotism. Favoritism is typically associated with inefficient transfers to the core support of the incumbent government. But inefficiency that is opposite in nature may also arise through the electoral process in a political environment where favoritism is pervasive. We show that if the policy maker is sufficiently office seeking, a socially efficient action may never be taken if it yields benefits to his core support due to reputational concerns. Hence, the core support of the incumbent may fare worse than other groups. We also consider the implications of policies such as anti-nepotism laws or term limits in the presence of favoritism. {\textcopyright} 2005 Elsevier B.V. All rights reserved.","","Election,Favoritism,Nepotism,Reverse discrimination,Term limits,Voting","Users/sarah/Documents/Paper/Favoritism and reverse discrimination.pdf",""
Article,"","83","Indre Zliobaite","On the relation between accuracy and fairness in binary classification","",,,"May","",2015,"","","","","","","","","","","","","","","","Our study revisits the problem of accuracy-fairness tradeoff in binary classification. We argue that comparison of non-discriminatory classifiers needs to account for different rates of positive predictions, otherwise conclusions about performance may be misleading, because accuracy and discrimination of naive baselines on the same dataset vary with different rates of positive predictions. We provide methodological recommendations for sound comparison of non-discriminatory classifiers, and present a brief theoretical and empirical analysis of tradeoffs between accuracy and non-discrimination.","","cs.LG, cs.AI","http://arxiv.org/pdf/1505.05723v1",""
Article,"","84","Couillault, Alain and Fort, Kar{\"{e}}n and Adda, Gilles and {De Mazancourt}, Hugues","Evaluating Corpora Documentation with regards to the Ethics and Big Data Charter","International Conference on Language Resources and Evaluation (LREC)",,,"","",2014,"","","","","","","","","","","","","","","","The authors have written the Ethics and Big Data Charter in collaboration with various agencies, private bodies and associations. This Charter aims at describing any large or complex resources, and in particular language resources, from a legal and ethical viewpoint and ensuring the transparency of the process of creating and distributing such resources. We propose in this article an analysis of the documentation coverage of the most frequently mentioned language resources with regards to the Charter, in order to show the benefit it offers.","","language resources, ethics, documentation, big dat","Users/sarah/Documents/Paper/Evaluating Corpora Documentation with regards to the Ethics and Big Data Charter.pdf",""
Article,"9781450308137","85","Ruggieri, Salvatore","Vp5\_02.Pdf","",,,"","502--510",,"","","","","","","","","","","","","","","","","","discrimination discovery and prevention,k-nn classification","Users/sarah/Documents/Paper/k-NN as an Implementation of Situation Testing for Discrimination Discovery and Prevention.pdf",""
Article,"","86","Hajian, Sara and Domingo-ferrer, Josep","Chapter 13 Direct and Indirect Discrimination Prevention Methods","",,,"","",,"","","","","","","","","","","","","","","","","","","Users/sarah/Documents/Paper/Direct and Indirect Discrimination Prevention Methods.pdf",""
Article,"","87","Madaan, Nishtha and Mehta, Sameep and Malhotra, Vrinda and Aggarwal, Aditi and Delhi, Msit and Saxena, Mayank","Analyze, Detect and Remove Gender Stereotyping from Bollywood Movies","Proceedings of Machine Learning Research",81,,"","1--14",2018,"","","http://proceedings.mlr.press/v81/madaan18a/madaan18a.pdf","","","","","","","","","","","","","The presence of gender stereotypes in many aspects of society is a well-known phenomenon. In this paper, we focus on studying such stereotypes and bias in Hindi movie industry (Bollywood) and propose an algorithm to remove these stereotypes from text. We analyze movie plots and posters for all movies released since 1970. The gender bias is detected by semantic model-ing of plots at sentence and intra-sentence level. Different features like occupation, introductions, associated actions and descriptions are captured to show the perva-siveness of gender bias and stereotype in movies. Using the derived semantic graph, we compute centrality of each character and observe similar bias there. We also show that such bias is not applicable for movie posters where females get equal importance even though their character has little or no impact on the movie plot. The silver lining is that our system was able to identify 30 movies over last 3 years where such stereotypes were broken. The next step, is to generate debiased stories. The proposed debiasing algorithm extracts gender biased graphs from unstructured piece of text in stories from movies and de-bias these graphs to generate plausible unbiased stories.","","","Users/sarah/Documents/Paper/Analyze, Detect and Remove Gender Stereotyping from Bollywood Movies.pdf",""
Article,"","90","Sorelle A. Friedler and Carlos Scheidegger and Suresh Venkatasubramanian","On the (im)possibility of fairness","",,,"September","",2016,"","","","","","","","","","","","","","","","What does it mean for an algorithm to be fair? Different papers use different notions of algorithmic fairness, and although these appear internally consistent, they also seem mutually incompatible. We present a mathematical setting in which the distinctions in previous papers can be made formal. In addition to characterizing the spaces of inputs (the "observed" space) and outputs (the "decision" space), we introduce the notion of a construct space: a space that captures unobservable, but meaningful variables for the prediction. We show that in order to prove desirable properties of the entire decision-making process, different mechanisms for fairness require different assumptions about the nature of the mapping from construct space to decision space. The results in this paper imply that future treatments of algorithmic fairness should more explicitly state assumptions about the relationship between constructs and observations.","","cs.CY, stat.ML","http://arxiv.org/pdf/1609.07236v1",""
Article,"9783893180707","92","Stoyanovich, Julia and Abiteboul, Serge and Miklau, Gerome",", Responsibly: Fairness, Neutrality and Transparency in Data Analysis","Proceedings of the 19th International Conference on Extending Database Technology",,,"","718--719",2016,"","","http://openproceedings.org/2016/conf/edbt/paper-c.pdf","","","","","","","","","","","","","Big data technology holds incredible promise of improving people's lives, accelerating scientific discovery and innovation, and bringing about positive societal change. Yet, if not used responsibly, this technology can propel economic inequality, destabilize global markets and affirm systemic bias. While the potential benefits of big data are well-accepted, the importance of using these techniques in a fair and transparent manner is rarely considered. The primary goal of this tutorial is to draw the attention of the data management community to the important emerging subject of responsible data management and analysis. We will offer our perspective on the issue, will give an overview of existing technical work, primarily from the data mining and algorithms communities, and will motivate future research directions.","","","Users/sarah/Documents/Paper/Data, Responsibly- Fairness, Neutrality and Transparency in Data Analysis.pdf",""
Article,"","94","Garb, Howard N and Drive, Highland","Race Bias , Social Class Bias , and Gender Bias in Clinical Judgment","Clinical Psychology: Science and Practice",4,2,"","99--120",95,"","","http://0-onlinelibrary.wiley.com.libus.csd.mu.edu/doi/10.1111/j.1468-2850.1997.tb00104.x/epdf?","","","","","","","","","","","","","Race Bias, Social Class Bias, and Gender Bias in Clinical Judgment Howard N. Garb, Highland Drive V. A. Medical Center and University of Pittsburgh Studies on race bias, social class bias, and gender bias are reviewed. Topics include psychodiagnosis and rating level of adjustment, the description of personality traits and psychiatric symptoms, the prediction of behavior, and treatment planning. Replicated findings indude race bias in the dffarential diagnosis of schizophrenia and psychotic afkctive disorders, gender bias in the dfhrential diagnosis of histrionic and antisocial per- sonality disorders, race bias and gender bias in the prediction of violence, and social class bias in the refer- ral of dients to psychotherapy. Recommendations for decreasing bias include (a) being aware of when biases are likely to occur, (b) adhering to diagnostic criteria, and (c) using statistical prediction rules to predict behavior.","","cognitive biases,judgment,personality assessment,prediction,psychodiagnosis","Users/sarah/Documents/Paper/Race Bias, Social Class Bias, and Gender Bias in Clinical Judgment.pdf",""
Article,"","95","Zliobaite, Indre","Fairness-aware machine learning: a perspective","",,,"","1--10",2017,"","","http://arxiv.org/abs/1708.00754","","","","","","","","","","","","","Algorithms learned from data are increasingly used for deciding many aspects in our life: from movies we see, to prices we pay, or medicine we get. Yet there is growing evidence that decision making by inappropriately trained algorithms may unintentionally discriminate people. For example, in automated matching of candidate CVs with job descriptions, algorithms may capture and propagate ethnicity related biases. Several repairs for selected algorithms have already been proposed, but the underlying mechanisms how such discrimination happens from the computational perspective are not yet scientifically understood. We need to develop theoretical understanding how algorithms may become discriminatory, and establish fundamental machine learning principles for prevention. We need to analyze machine learning process as a whole to systematically explain the roots of discrimination occurrence, which will allow to devise global machine learning optimization criteria for guaranteed prevention, as opposed to pushing empirical constraints into existing algorithms case-by-case. As a result, the state-of-the-art will advance from heuristic repairing, to proactive and theoretically supported prevention. This is needed not only because law requires to protect vulnerable people. Penetration of big data initiatives will only increase, and computer science needs to provide solid explanations and accountability to the public, before public concerns lead to unnecessarily restrictive regulations against machine learning.","","","Users/sarah/Documents/Paper/Fairness-aware machine learning- a perspective.pdf",""
Article,"","96","Lerman, Jonas"," ig Data and Its  xclusions","",,,"","10--12",2017,"","","","","","","","","","","","","","","","","","","Users/sarah/Documents/Paper/Big Data and Its Exclusions.pdf",""
Article,"","97","Datta, Amit and Datta, Anupam and Makagon, Jael and Mulligan, Deirdre K. and Tschantz, Michael Carl","Discrimination in Online Advertising: A Multidisciplinary Inquiry","Proceedings of the 1st Conference on Fairness, Accountability and Transparency",81,Section 3,"","20--34",16,"","","https://www.ftc.gov/system/files/documents/public{\_}comments/2015/10/00069-98145.pdf.","","","","","","","","","","","","","Regulators, advocates, and scholars have voiced concern with the possibility that algorithms will mask, produce, or reproduce illegal discrimination, and perpetuate stereotypes. In this paper, we recount experiments reported in the computer science literature finding that the ads shown by Google differ based on the gender set in Google Ad Settings. Male identification resulted in more ads for a career coaching service that promoted high paying jobs. While the gender setting appeared causal in the experiments, the complexity of the advertising ecosystem makes it difficult to assess how it interacts with other components in the large third-party ad network that is Google's DoubleClick. Google provides Ad Settings, which displays inferences Google has made about a user's demographics and interests as well as user contributed data. Users can view and edit these settings at google.com/settings/ads. The Ad Settings profile is used to personalize advertisements. However, the Ad Settings profile is but one element of the advertising ecosystem. It interacts with the demographic and key word selections of advertisers—which allow ads explicitly to be targeted to or away from users based on gender, and can differently target men and women due to keywords or other parameters that acts as a proxy for gender—with the Google controlled optimization algorithm that aims to maximize click-through-rates (CTR) and may explicitly learn and tailor base on gender, or on attributes that align with one gender or the other—and with the prices other advertisers are willing to pay per impression, as well as their choices about demographics and keywords. Thus while toggling between genders yields different ads, exactly why it does so remains opaque. We document the various ways that an advertising system could yield different ads to men and women. We document the various ways in which advertisers can target ads in the Google platform, and run our own experiments demonstrating the ability to have facially discriminatory advertising practices for employment ads through the Google ad platform. We consider how this may interact with the choices of other advertisers, the bidding for impressions, and Google's effort to maximize return on investment. We then explore the legal questions and policy concerns raised by these results. We explore how this behavior relates to prohibitions against gender discrimination in employment advertising under state and federal civil rights law, as well as the interaction between these statutes and Section 230 of the Communications Decency Act, which provides broad protection against liability to interactive computer services for other entities speech. We identify several aspects on the ad serving ecosystem that present challenges for existing legal frameworks, specifically: the lack of upfront visibility into the likely output of adword choices; the inability of individual advertisers to know or control how their choices interact with those of other advertisers to influence the display of advertisements across the sexes; and, the difficult of assigning responsibility or blame in such multi-agent, real-time systems.","","discrimination,online adver-","Users/sarah/Documents/Paper/Discrimination in Online Advertising A Multidisciplinary Inquiry.pdf",""
Article,"","99","Berend, Bettina and Preibusch, S{\"{o}}ren","Better decision support through exploratory discrimination-aware data mining: Foundations and empirical evidence","Artificial Intelligence and Law",22,2,"","175--209",2014,"","","","","","","","","","","","","","","","Decision makers in banking, insurance or employment mitigate many of their risks by telling “good” individuals and “bad” individuals apart. Laws codify societal understandings of which factors are legitimate grounds for differential treatment (and when and in which contexts)—or are considered unfair discrimination, including gender, ethnicity or age. Discrimination-aware data mining ({\{}DADM){\}} implements the hope that information technology supporting the decision process can also keep it free from unjust grounds. However, constraining data mining to exclude a fixed enumeration of potentially discriminatory features is insufficient. We argue for complementing it with exploratory {\{}DADM{\}}, where discriminatory patterns are discovered and flagged rather than suppressed. This article discusses the relative merits of constraint-oriented and exploratory {\{}DADM{\}} from a conceptual viewpoint. In addition, we consider the case of loan applications to empirically assess the fitness of both discrimination-aware data mining approaches for two of their typical usage scenarios: prevention and detection. Using Mechanical Turk, 215 {\{}US-based{\}} participants were randomly placed in the roles of a bank clerk (discrimination prevention) or a citizen / policy advisor (detection). They were tasked to recommend or predict the approval or denial of a loan, across three experimental conditions: discrimination-unaware data mining, exploratory, and constraint-oriented {\{}DADM{\}} ({\{}eDADM{\}} resp. {\{}cDADM).{\}} The discrimination-aware tool support in the {\{}eDADM{\}} and {\{}cDADM{\}} treatments led to significantly higher proportions of correct decisions, which were also motivated more accurately. There is significant evidence that the relative advantage of discrimination-aware techniques depends on their intended usage. For users focussed on making and motivating their decisions in non-discriminatory ways, {\{}cDADM{\}} resulted in more accurate and less discriminatory results than {\{}eDADM.{\}} For users focussed on monitoring for preventing discriminatory decisions and motivating these conclusions, {\{}eDADM{\}} yielded more accurate results than {\{}cDADM.{\}}","","Data mining for decision support,Discrimination discovery and prevention,Discrimination-aware data mining,Evaluation,Mechanical Turk,Online experiment,Responsible data mining,User studies","Users/sarah/Documents/Paper/Better decision support through exploratory discrimination-aware data mining- foundations and empirical evidence.pdf",""
Book,"1011501104","6","Kamiran, Faisal and Calders, Toon","Data preprocessing techniques for classification without discrimination","",33,1,"","1--33",2012,"","","","Knowledge and Information Systems","","","","","","","","","","","","Recently, the following Discrimination-Aware Classification Problem was introduced: Suppose we are given training data that exhibit unlawful discrimination; e.g., toward sensitive attributes such as gender or ethnicity. The task is to learn a classifier that optimizes accuracy, but does not have this discrimination in its predictions on test data. This problem is relevant in many settings, such as when the data are generated by a biased decision process or when the sensitive attribute serves as a proxy for unobserved features. In this paper, we concentrate on the case with only one binary sensitive attribute and a two-class classification problem. We first study the theoretically optimal trade-off between accuracy and non-discrimination for pure classifiers. Then, we look at algorithmic solutions that preprocess the data to remove discrimination before a classifier is learned. We survey and extend our existing data preprocessing techniques, being suppression of the sensitive attribute, massaging the dataset by changing class labels, and reweighing or resampling the data to remove discrimination without relabeling instances. These preprocessing techniques have been implemented in a modified version of Weka and we present the results of experiments on real-life data","","Classification,Discrimination-aware data mining,Preprocessing","Users/sarah/Documents/Paper/Data preprocessing techniques for classification without discrimination.pdf",""
Book,"1011501205848","7","Kamiran, Faisal and {\v{Z}}liobaite, Indre and Calders, Toon","Quantifying explainable discrimination and removing illegal discrimination in automated decision making","",35,3,"","613--644",2013,"","","","Knowledge and Information Systems","","","","","","","","","","","","Recently the following discrimination-aware classification problem was introduced. Historical data used for supervised learning may contain discrimina- tion; for instance, with respect to gender. The question addressed by discrimination- aware techniques is, given sensitive attribute, how to train discrimination-free classifiers on such historical data that is discriminative, with respect to the given sensitive attribute. Existing techniques that deal with this problem aim at remov- ing all discrimination and do not take into account that part of the discrimination may be explainable by other attributes. For example, in a job application, the education level of a job candidate could be such an explainable attribute. If the data containsmany highly-educatedmale candidates and only few highly-educated woman, a difference in acceptance rates between woman and man does not neces- sarily reflect gender discrimination, as it could be explained by the different levels of education. Even though selecting on education level would result in more males being accepted, a difference with respect to such a criterion would not be consid- ered to be undesirable, nor illegal. Current state-of-the-art techniques, however, do not take such gender-neutral explanations into account, and tend to overreact and actually start reverse discriminating, as we will show in this paper. Therefore, we introduce and analyze the refined notion of conditional non-discrimination in classifier design. We show that some of the differences in decisions across the sen- sitive groups can be explainable and are hence tolerable. Therefore, we develop methodology for quantifying the explainable discrimination and algorithmic tech- niques for removing the illegal discrimination when one or more attributes are considered as explanatory. Experimental evaluation on synthetic and real world classification datasets demonstrate that the new techniques are superior to the old ones in this new context, as they succeed in removing almost exclusively the undesirable discrimination, while leaving the explainable differences unchanged, allowing for differences in decisions as long as they are explainable.","","Classification,Discrimination-aware data mining,Independence","Users/sarah/Documents/Paper/Quantifying explainable discrimination and removing illegal discrimination in automated decision making.pdf",""
InCollection,"","2","Sara Hajian and Josep Domingo-Ferrer and Antoni Mart{\'{\i}}nez-Ballest{\'{e}}","Rule Protection for Indirect Discrimination Prevention in Data Mining","",,,"","211--222",2011,"","","","Lecture Notes in Computer Science","","","","","Springer Berlin Heidelberg","","","","","","","","","","",""
InCollection,"","3","Sara Hajian and Josep Domingo-Ferrer","Direct and Indirect Discrimination Prevention Methods","",,,"","241--254",13,"","","","Studies in Applied Philosophy, Epistemology and Rational Ethics","","","","","Springer Berlin Heidelberg","","","","","","","","","","",""
InCollection,"","4","Dino Pedreschi and Salvatore Ruggieri and Franco Turini","The Discovery of Discrimination","",,,"","91--108",2013,"","","","Studies in Applied Philosophy, Epistemology and Rational Ethics","","","","","Springer Berlin Heidelberg","","","","","","","","","","",""
InCollection,"","5","Toshihiro Kamishima and Shotaro Akaho and Hideki Asoh and Jun Sakuma","Fairness-Aware Classifier with Prejudice Remover Regularizer","",,,"","35--50",2012,"","","","Machine Learning and Knowledge Discovery in Databases","","","","","Springer Berlin Heidelberg","","","","","","","","","","",""
InCollection,"","89","Kilbertus, Niki and Rojas Carulla, Mateo and Parascandolo, Giambattista and Hardt, Moritz and Janzing, Dominik and Sch\"{o}lkopf, Bernhard","Avoiding Discrimination through Causal Reasoning","",,,"","656--666",2017,"","","http://papers.nips.cc/paper/6668-avoiding-discrimination-through-causal-reasoning.pdf","Advances in Neural Information Processing Systems 30","","","","I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett","Curran Associates, Inc.","","","","","","","","","","",""
InCollection,"","91","Friedman and Nissenbaum","Bias in Computer Systems","",,,"may","215--232",2017,"","","","Computer Ethics","","","","","Routledge","","","","","","","Data Engineering is awesome!!","","","",""
InProceedings,"","105","Datta et al.","Discrimination in Online Advertising: A Multidisciplinary Inquiry","",81,,"23--24 Feb","20--34",2018,"New York, NY, USA","","http://proceedings.mlr.press/v81/datta18a.html","Proceedings of the 1st Conference on Fairness, Accountability and Transparency","","","Proceedings of Machine Learning Research","Sorelle A. Friedler and Christo Wilson","PMLR","","","","","","","We explore ways in which discrimination may arise in the targeting of job-related advertising, noting the potential for multiple parties to contribute to its occurrence.  We then examine the statutes and case law interpreting the prohibition on advertisements that indicate a preference based on protected class, and consider its application to online advertising.  We focus on its interaction with Section 230 of the Communications Decency Act, which provides interactive computer services with immunity for providing access to  information created by a third party.  We argue that such services can lose that immunity if they target ads toward or away from protected classes without explicit instructions from advertisers to do so.","","","http://proceedings.mlr.press/v81/datta18a/datta18a.pdf",""
InProceedings,"","25","Faisal Kamiran and Toon Calders and Mykola Pechenizkiy","Discrimination Aware Decision Tree Learning","",,,"dec","",2010,"","","","2010 {IEEE} International Conference on Data Mining","","","","","{IEEE}","","","","","","","","","","",""
InProceedings,"","26","Indre liobaite and Faisal Kamiran and Toon Calders","Handling Conditional Discrimination","",,,"dec","",,"","","","2011 {IEEE} 11th International Conference on Data Mining","","","","","{IEEE}","","","","","","","","","","",""
InProceedings,"","29","Toon Calders and Faisal Kamiran and Mykola Pechenizkiy","Building lassifiers with Independency Constraints","",,,"dec","",,"","","https://en.wikipedia.org/wiki/Information_engineering","2009 {IEEE} International Conference on Data Mining Workshops","","","","","{IEEE}","","","","","","","Lorem ipsum dolor sit amet, consectetur adipisici elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquid ex ea commodi consequat. Quis aute iure reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint obcaecat cupiditat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","","","",""
InProceedings,"","31","Toshihiro Kamishima and Shotaro Akaho and Jun Sakuma","Fairness-aware Learning through Regularization Approach","",,,"dec","",2011,"","","","2011 {IEEE} 11th International Conference on Data Mining Workshops","","","","","{IEEE}","","","","","","","","","","",""
InProceedings,"","40","Dino Pedrschi and Salvatore Ruggieri and Franco Turini","Measuring Discrimination in Socially-Sensitive Decision Records","",,,"apr","",2009,"","","","Proceedings of the 2009 {SIAM} International Conference on Data Mining","","","","","Society for Industrial and Applied Mathematics","","","","","","","","","","",""
InProceedings,"","41","Patrick Gage Kelley and Joanna Bresee and Lorrie Faith Cranor and Robert W. Reeder","A "nutrition label" for privacy","",,,"","",2009,"","","","Proceedings of the Fifth Symposium on Usable Privacy and Security - {SOUPS} {\textquotesingle}09","","","","","{ACM} Press","","","","","","","","","","",""
InProceedings,"","46","Binh Thanh Luong and Salvatore Ruggieri and Franco Turini","k-NN as an implementation of situation testing for discrimination discovery and prevention","",,,"","",2011,"","","","Proceedings of the 17th {ACM} {SIGKDD} international conference on Knowledge discovery and data mining - {KDD} {\textquotesingle}11","","","","","{ACM} Press","","","","","","","","","","",""
InProceedings,"","47","Cynthia Dwork and Moritz Hardt and Toniann Pitassi and Omer Reingold and Richard Zemel","Fairness through awareness","",,,"","",2012,"","","","Proceedings of the Third Innovations in Theoretical Computer Science Conference on - {ITCS} {\textquotesingle}12","","","","","{ACM} Press","","","","","","","Lorem ipsum dolor sit amet, consectetur adipisici elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquid ex ea commodi consequat. Quis aute iure reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint obcaecat cupiditat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","","","",""
InProceedings,"","48","Dino Pedreschi and Salvatore Ruggieri and Franco Turini","A study of top-k measures for discrimination discvery","",,,"","",,"","","","Proceedings of the 27th Annual {ACM} Symposium on Applied Computing - {SAC} {\textquotesingle}12","","","","","{ACM} Press","","","","","","","","","","",""
InProceedings,"","63","Dirk Hovy and Shannon L. Spruit","The Social Impact of Natural Language Processing","",,,"","",16,"","","","Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)","","","","","Association for Computational Linguistics","","","","","","","","","","",""
InProceedings,"","88","Robin Burke and Nasim Sonboli and Aldo Ordonez-Gauger","Balanced Neighborhoods for Multi-sided Fairess in Recommendation","",81,,"23--24 Feb","202--214",2018,"New York, NY, USA","","http://proceedings.mlr.press/v81/burke18a.html","Proceedings of the 1st Conference on Fairness, Accountability and Transparency","","","Proceedings of Machine Learning Research","Sorelle A. Friedler and Christo Wilson","PMLR","","","","","","","Fairness has emerged as an important category of analysis for machine learning systems in some application areas. In extending the concept of fairness to recommender systems, there is an essential tension between the goals of fairness and those of personalization. However, there are contexts in which  equity across recommendation outcomes is a desirable goal. It is also the case that in some applications fairness may be a multisided concept, in which the impacts on multiple groups of individuals must be considered. In this paper, we examine two different cases of fairness-aware recommender systems: consumer-centered and provider-centered. We  explore the concept of a balanced neighborhood as a mechanism to preserve personalization in recommendation while enhancing the fairness of recommendation outcomes. We show that a modified version of the Sparse Linear Method (SLIM) can be used to improve the balance of user and item neighborhoods, with the result of achieving greater outcome fairness in real-world datasets with minimal loss in ranking performance.","","","http://proceedings.mlr.press/v81/burke18a/burke18a.pdf",""
InProceedings,"","93","Datta et al.","Discrimination in Online Ad-vertising: A Multidisciplinary Inquiry","",81,,"23--24 Feb","20--34",2018,"New York, NY, USA","","http://proceedings.mlr.press/v81/datta18a.html","Proceedings of the First Conference on Fairness, Accountability and Transparency","","","Proceedings of Machine Learning Research","Sorelle A. Friedler and Christo Wilson","PMLR","","","","","","","We explore ways in which discrimination may arise in the targeting of job-related advertising, noting the potential for multiple parties to contribute to its occurrence.  We then examine the statutes and case law interpreting the prohibition on advertisements that indicate a preference based on protected class, and consider its application to online advertising.  We focus on its interaction with Section 230 of the Communications Decency Act, which provides interactive computer services with immunity for providing access to  information created by a third party.  We argue that such services can lose that immunity if they target ads toward or away from protected classes without explicit instructions from advertisers to do so.","","","http://proceedings.mlr.press/v81/datta18a/datta18a.pdf",""
InProceedings,"","98","Toshihiro Kamishima and Shotaro Akaho and Hideki Asoh and Jun Sakuma","Recommendation Independence","",81,,"23--24 Feb","187--201",2018,"New York, NY, USA","","http://proceedings.mlr.press/v81/kamishima18a.html","Proceedings of the 1st Conference on Fairness, Accountability and Transparency","","","Proceedings of Machine Learning Research","Sorelle A. Friedler and Christo Wilson","PMLR","","","","","","","This paper studies a recommendation algorithm whose outcomes are not influenced by specified information. It is useful in contexts potentially unfair decision should be avoided, such as job-applicant recommendations that are not influenced by socially sensitive information. An algorithm that could exclude the influence of sensitive information would thus be useful for job-matching with fairness. We call the condition between a recommendation outcome and a sensitive feature Recommendation Independence, which is formally defined as statistical independence between the outcome and the feature. Our previous independence-enhanced algorithms simply matched the means of predictions between sub-datasets consisting of the same sensitive value. However, this approach could not remove the sensitive information represented by the second or higher moments of distributions. In this paper, we develop new methods that can deal with the second moment, i.e., variance, of recommendation outcomes without increasing the computational complexity. These methods can more strictly remove the sensitive information, and experimental results demonstrate that our new algorithms can more effectively eliminate the factors that undermine fairness. Additionally, we explore potential applications for independence-enhanced recommendation, and discuss its relation to other concepts, such as recommendation diversity.","","","http://proceedings.mlr.press/v81/kamishima18a/kamishima18a.pdf",""
Misc,"","114","Executive Office of the President","Big data: Seizing opportunities, preserving values","",,,"","",2014,"","","","","","","","","The White House Washington, DC","","","","","","","","","","",""
Misc,"","59","Michael Ekstrand and Mucun Tian and Ion Madrazo Azpiazu and Jennifer D. Ekstrand and Oghenemaro Anuyah and David McNeill and Maria Soledad Pera","Scripts for All The Cool Kids, How Do They Fit In","",,,"","",,"","","https://www.ipvs.uni-stuttgart.de/abteilungen/de/","","","","","","Boise State University","","","","","","","","","","",""
Misc,"","74","Stoyanovich, Julia and Abiteboul, Serge and Miklau, Gerome","Data Responsibly: Fairness, Neutrality and Transparency in Data Analysis","",,,"","",2016,"","","","","","","","","OpenProceedings.org","","","","","","","","","Database Technology","",""
Misc,"","82","Manduca, C.A. and Fox, S. and Rissler, H.","DataSheets","",,,"","",06,"","American Geophysical Union, Fall Meeting 2006, abstract id. ED41A-05","","","","","","","","","SAO/ NASA ADS Physics Abstract Service","","","","","","","","",""
